Year,Country,Graduate_F,Graduate_M,Percent_F_Graduate,Percent_F_Undergraduate,Percent_M_Graduate,Percent_M_Undergraduate,Percent_of_Graduate,Percent of Total,Percent of Undergraduate,Total,Total Graduate,Total Undergraduate,Undergraduate F,Undergraduate M
Fall 2000,China,248,401,38.21263482,72.97297297,61.78736518,27.02702703,20.92198582,18.28845641,5.701078582,686,649,37,27,10
Fall 2000,South Korean,189,318,37.27810651,51.25,62.72189349,48.75,16.344294,15.64916022,12.32665639,587,507,80,41,39
Fall 2000,India,83,237,25.9375,27.90697674,74.0625,72.09302326,10.31592521,9.677419355,6.625577812,363,320,43,12,31
Fall 2000,Unknown,102,136,42.85714286,32,57.14285714,68,7.672469375,7.01146361,3.852080123,263,238,25,8,17
Fall 2000,Taiwan,137,97,58.54700855,57.14285714,41.45299145,42.85714286,7.543520309,6.79818715,3.235747304,255,234,21,12,9
Fall 2000,Japan,41,47,46.59090909,67.39130435,53.40909091,32.60869565,2.836879433,3.572380698,7.087827427,134,88,46,31,15
Fall 2000,Turkey,33,67,33,50,67,50,3.223726628,2.772593975,0.61633282,104,100,4,2,2
Fall 2000,Thailand,50,36,58.13953488,50,41.86046512,50,2.7724049,2.346041056,0.30816641,88,86,2,1,1
Fall 2000,Singapore,5,20,20,38.33333333,80,61.66666667,0.805931657,2.266062383,9.244992296,85,25,60,23,37
Fall 2000,Canada,20,45,30.76923077,46.66666667,69.23076923,53.33333333,2.095422308,2.132764596,2.311248074,80,65,15,7,8
Fall 2000,Other,263,523,33.4605598,44.62025316,66.5394402,55.37974684,25.3384913,29.37883231,48.69029276,1102,786,316,141,175
Fall 2001,China,300,440,40.54054054,75.47169811,59.45945946,24.52830189,21.79675994,18.58884201,6.084959816,793,740,53,40,13
Fall 2001,South Korean,217,353,38.07017544,52.0661157,61.92982456,47.9338843,16.78939617,16.19784341,13.89207807,691,570,121,63,58
Fall 2001,India,93,313,22.90640394,26.92307692,77.09359606,73.07692308,11.95876289,11.34552274,8.955223881,484,406,78,21,57
Fall 2001,Taiwan,127,104,54.97835498,53.125,45.02164502,46.875,6.804123711,6.165025785,3.673938002,263,231,32,17,15
Fall 2001,Unknown,53,59,47.32142857,35.13513514,52.67857143,64.86486486,3.298969072,3.49273324,4.247990815,149,112,37,13,24
Fall 2001,Japan,38,65,36.89320388,62.5,63.10679612,37.5,3.033873343,3.352086263,4.592422503,143,103,40,25,15
Fall 2001,Turkey,43,88,32.82442748,16.66666667,67.17557252,83.33333333,3.858615611,3.211439287,0.688863375,137,131,6,1,5
Fall 2001,Canada,31,47,39.74358974,42.10526316,60.25641026,57.89473684,2.297496318,2.27379278,2.181400689,97,78,19,8,11
Fall 2001,Thailand,61,31,66.30434783,0,33.69565217,100,2.709867452,2.226910455,0.344431688,95,92,3,0,3
Fall 2001,Singapore,9,22,29.03225806,36.50793651,70.96774194,63.49206349,0.913107511,2.203469292,7.233065442,94,31,63,23,40
Fall 2001,United Kingdom,11,10,52.38095238,44.11764706,47.61904762,55.88235294,0.618556701,2.086263479,7.807118255,89,21,68,30,38
Fall 2001,Other,322,558,36.59090909,40.74074074,63.40909091,59.25925926,25.92047128,28.85607126,40.29850746,1231,880,351,143,208
Fall 2002,China,359,448,44.48574969,61.36363636,55.51425031,38.63636364,22.4916388,18.74449339,4.621848739,851,807,44,27,17
Fall 2002,South Korean,236,375,38.62520458,49.32432432,61.37479542,50.67567568,17.02898551,16.71806167,15.54621849,759,611,148,73,75
Fall 2002,India,105,351,23.02631579,27.04918033,76.97368421,72.95081967,12.7090301,12.73127753,12.81512605,578,456,122,33,89
Fall 2002,Taiwan,156,101,60.70038911,52.77777778,39.29961089,47.22222222,7.162764771,6.453744493,3.781512605,293,257,36,19,17
Fall 2002,Unknown,51,81,38.63636364,39.13043478,61.36363636,60.86956522,3.678929766,3.414096916,2.415966387,155,132,23,9,14
Fall 2002,Turkey,43,94,31.38686131,18.18181818,68.61313869,81.81818182,3.818283166,3.259911894,1.155462185,148,137,11,2,9
Fall 2002,Japan,31,48,39.24050633,63.63636364,60.75949367,36.36363636,2.201783724,2.709251101,4.621848739,123,79,44,28,16
Fall 2002,Singapore,10,26,27.77777778,47.76119403,72.22222222,52.23880597,1.003344482,2.268722467,7.037815126,103,36,67,32,35
Fall 2002,Other,410,663,38.21062442,43.10722101,61.78937558,56.89277899,29.90523969,33.70044053,48.00420168,1530,1073,457,197,260
Fall 2003,South Korean,260,404,39.15662651,47.23404255,60.84337349,52.76595745,18.37807916,18.95824547,20.81488043,899,664,235,111,124
Fall 2003,China,361,451,44.45812808,54.71698113,55.54187192,45.28301887,22.47439801,18.24124842,4.694419841,865,812,53,29,24
Fall 2003,India,102,337,23.23462415,29.74683544,76.76537585,70.25316456,12.1505674,12.58962463,13.99468556,597,439,158,47,111
Fall 2003,Taiwan,159,113,58.45588235,54.76190476,41.54411765,45.23809524,7.528369776,6.621678617,3.720106289,314,272,42,23,19
Fall 2003,Turkey,39,96,28.88888889,18.18181818,71.11111111,81.81818182,3.736507058,3.078869675,0.974313552,146,135,11,2,9
Fall 2003,Unknown,38,60,38.7755102,37.5,61.2244898,62.5,2.712427346,2.572754112,2.125775022,122,98,24,9,15
Fall 2003,Japan,29,38,43.28358209,46.34146341,56.71641791,53.65853659,1.854414614,2.277520034,3.631532329,108,67,41,19,22
Fall 2003,Singapore,10,26,27.77777778,43.28358209,72.22222222,56.71641791,0.996401882,2.172079291,5.93445527,103,36,67,29,38
Fall 2003,Malaysia,3,8,27.27272727,40.69767442,72.72727273,59.30232558,0.304456131,2.045550401,7.617360496,97,11,86,35,51
Fall 2003,Other,429,650,39.75903614,40.29126214,60.24096386,59.70873786,29.86437863,31.44242935,36.49247121,1491,1079,412,166,246
Fall 2004,South Korea,277,412,40.20319303,39.67828418,59.79680697,60.32171582,20,22.44768548,29.00466563,1062,689,373,148,225
Fall 2004,China,351,440,44.37420986,74,55.62579014,26,22.96081277,17.77636863,3.888024883,841,791,50,37,13
Fall 2004,India,108,305,26.15012107,23.65591398,73.84987893,76.34408602,11.98838897,12.661171,14.46345257,599,413,186,44,142
Fall 2004,Taiwan,162,113,58.90909091,46.66666667,41.09090909,53.33333333,7.982583454,6.763897696,3.499222395,320,275,45,21,24
Fall 2004,Turkey,38,91,29.45736434,8.333333333,70.54263566,91.66666667,3.744557329,2.980342422,0.933125972,141,129,12,1,11
Fall 2004,Japan,25,30,45.45454545,48.93617021,54.54545455,51.06382979,1.596516691,2.155992391,3.65474339,102,55,47,23,24
Fall 2004,Canada,32,45,41.55844156,50,58.44155844,50,2.235123367,2.050306489,1.555209953,97,77,20,10,10
Fall 2004,Malaysia,4,6,40,40.22988506,60,59.77011494,0.290275762,2.050306489,6.765163297,97,10,87,35,52
Fall 2004,Singapore,16,20,44.44444444,40,55.55555556,60,1.044992743,2.029169309,4.66562986,96,36,60,24,36
Fall 2004,Other,384,586,39.58762887,39.90147783,60.41237113,60.09852217,28.15674891,29.08476009,31.57076205,1376,970,406,162,244
Fall 2005,South Korea,273,358,43.26465927,37.27810651,56.73534073,62.72189349,18.84144521,23.76775272,35.23280056,1138,631,507,189,318
Fall 2005,China,380,419,47.55944931,60.31746032,52.44055069,39.68253968,23.85786802,18.00334169,4.378040306,862,799,63,38,25
Fall 2005,India,112,302,27.0531401,21.82741117,72.9468599,78.17258883,12.36189907,12.76106934,13.69006254,611,414,197,43,154
Fall 2005,Taiwan,176,107,62.19081272,42.25352113,37.80918728,57.74647887,8.450283667,7.393483709,4.933981932,354,283,71,30,41
Fall 2005,Turkey,37,100,27.00729927,25,72.99270073,75,4.090773365,3.028404344,0.555941626,145,137,8,2,6
Fall 2005,Canada,31,48,39.24050633,39.28571429,60.75949367,60.71428571,2.358913108,2.234753551,1.945795691,107,79,28,11,17
Fall 2005,Other,420,586,41.74950298,38.2300885,58.25049702,61.7699115,30.03881756,32.81119465,39.26337735,1571,1006,565,216,349
Fall 2006,South Korea,280,336,45.45454545,35.67753002,54.54545455,64.32246998,17.5899486,23.71439873,37.51608752,1199,616,583,208,375
